code,city,country,lat,lon,home,first_visited,visits,note
SIN,Singapore,Singapore,1.3644,103.9915,true,,,home
BOM,Mumbai,India,19.0896,72.8656,false,,,
PNQ,Pune,India,18.5793,73.9089,false,,,
DEL,Delhi,India,28.5665,77.1031,false,,,
HYD,Hyderabad,India,17.2403,78.4294,false,,,
BLR,Bengaluru,India,13.1979,77.7063,false,,,
MAA,Chennai,India,12.9941,80.1709,false,,,
CCU,Kolkata,India,22.6547,88.4467,false,,,
KTM,Kathmandu,Nepal,27.6966,85.3591,false,,,
PKR,Pokhara,Nepal,28.2000,83.9817,false,,,
BHR,Bhairawa,Nepal,27.5058,83.4158,false,,,
CMB,Colombo,Sri Lanka,7.1808,79.8841,false,,,
HAN,Hanoi,Vietnam,21.2182,105.8042,false,,,
BKK,Bangkok,Thailand,13.6900,100.7501,false,,,
CGK,Jakarta,Indonesia,-6.1275,106.6537,false,,,
DPS,Denpasar,Indonesia,-8.7481,115.1672,false,,,
KUL,Kuala Lumpur,Malaysia,2.7456,101.7072,false,,,
MNL,Manila,Philippines,14.5086,121.0194,false,,,
KIX,Osaka,Japan,34.4347,135.2440,false,,,
NRT,Tokyo,Japan,35.7720,140.3929,false,,,
ALA,Almaty,Kazakhstan,43.3521,77.0405,false,,,
CAI,Cairo,Egypt,30.1219,31.4056,false,,,
ASW,Aswan,Egypt,23.9642,32.8199,false,,,
